species_name,dimorphism,source,synonym,tree_tip_names
Parablechnum_bicolor,NA,,,Blechnum_bicolor
Parablechnum_bolivianum,NA,,,Blechnum_bolivianum
Parablechnum_capense,NA,,,Blechnum_capense_AB040547
Parablechnum_corbassonii,NA,,,Blechnum_corbassonii
Parablechnum_gregsonii,NA,,,Blechnum_gregsonii
Parablechnum_howeanum,NA,,,Blechnum_howeanum
Parablechnum_loxense,NA,,,Blechnum_loxense_KJ716414
Parablechnum_marginatum,NA,,,Blechnum_marginatum
Parablechnum_montanum,NA,,,Blechnum_montanum
Parablechnum_procerum,NA,,,Blechnum_procerum
Parablechnum_subcordatum,NA,,,Blechnum_subcordatum
Parablechnum_triangularifolium,NA,,,Blechnum_triangularifolium
Parablechnum_usterianum,NA,,,Blechnum_usterianum
Parablechnum_wurunuran,NA,,,Blechnum_wurunuran
Salpichlaena_thalassica,NA,,,Salpichlaena_thalassica
Austroblechnum_andinum,NELD,"Collector: J. N. Rose
Number: 21281 Collector: I. Jimenez
Number: 1863",,Blechnum_andinum
Austroblechnum_colensoi,NELD,"Collector: R. B. Faden & A. J. Faden
Number: 76/667",Blechnum colensoi,Blechnum_colensoi
Austroblechnum_divergens,NELD,"Collector: E. L. Ekman
Number: H 5264 Collector: J. Cuatrecasas
Number: 14942",Blechnum_divergens,Blechnum_divergens
Austroblechnum_durum,NELD,"Collector: E. H. Walker
Number: 4821 Collector: E.H. Walker
Number: 4821",Blechnum durum,Blechnum_durum
Austroblechnum_lechleri,NELD,"Collector: Carlo L.G. Bertero
Number: 1545 Collector: A. Hollermayer
Number: 1885",Blechnum mochaenum,Blechnum_mochaenum
Austroblechnum_lehmannii,NELD,"Collector: Thomas B. Croat
Number: 60745",Blechnum lehmannii,Blechnum_lehmannii
Austroblechnum_leyboldtianum,NELD,"collected in Chile
 by Copyright Royal Botanic Garden Edinburgh",Blechnum_blechnoides,Blechnum_blechnoides
Austroblechnum_melanocaulon,NELD,"Collector: Jacobs M
Date: 1968-00-00",Blechnum melanocaulon,Blechnum_melanocaulon
Austroblechnum_membranaceum,NELD,"Collector: Mrs. C. C. Armstong
Number: s.n.",Blechnum membranaceum,Blechnum_membranaceum
Austroblechnum_microphyllum,NELD,"Collector: E. Wedermann
Number: 1288 Collector: G. Looser
Number: 4498",Blechnum microphyllum,Blechnum_microphyllum
Austroblechnum_norfolkianum,NELD,"Collector: W. R. Sykes
Number: 1212/K",,Blechnum_norfolkianum
Austroblechnum_patersonii_subssp_queenslandicum,NELD,"Record number: AF352
Recorded by: Ford, A.; Holmes, J.",,Blechnum_patersonii_subsp._queenslandicum
Austroblechnum_patersonii_subssp._patersonii,NELD,"Collector: E. F. Constable
Number: P8723 Collector: H. E. Parks
Number: 20758",Blechnum patersonii,Blechnum_patersonii_subsp._patersonii
Austroblechnum_penna-marina,NELD,"Collector: Savatier
Number: 231",,Blechnumpenna-marina
Austroblechnum_squamipes,NELD,"Collector: I. Jimenez
Number: 2379 Collector: E. R. de la Sota
Number: 4373",,Blechnum_squamipes
Austroblechnum_stoloniferum,NELD,"Collector: D. E. Breedlove & A. R. Smith
Number: 22076 Collector: A. F. Skutch
Number: 292",,Blechnum_stoloniferum
Austroblechnum_vieillardii,NELD,"Collector: Jérôme Munzinger
Number: 3081",Blechnum vieillardii,Blechnum_vieillardii
Austroblechnum_wardiae,NELD,"Collector: A. Molina R. et al.
Number: 16837 Collector: Boone Hallberg
Number: 1542",,Blechnum_wardiae
Austroblechnum_x_aggregatum,NELD,"Collector: B. E. G. Molesworth-Allen
Number: 5006",,Blechnum_chambersii
Blechnum_australe,NELD,"Collector: M. de L'Isle
Number: 449 Collector: E. E. Esterhuysen
Number: 25440",,Blechnum_australe
Blechnum_punctulatum,NELD,"Collector: E. E. Esterhuysen
Number: 22799",,Blechnum_punctulatum
Cranfillia_fluviatilis,NELD,"Collector: C. Armstrong
Number: s.n. Collector: C. W. Chen
Number: 4596",,Blechnum_fluviatile
Cranfillia_hirsuta,NELD,no photos included collector or number,,Blechnum_hirsutum
Cranfillia_nigra,NELD,"Collector: P. J. Philson; L. A. Doore; T. T. Earle
Number: 336 Collector: Earle, T. T.
Number: s.n.",,Blechnum_nigrum
Cranfillia_opaca,NELD,"Collector: Kajewski, S.F.
Number: Collector Number: 879 Collector: Franc
Number: 45",,Blechnum_opacum
Cranfillia_pilosa,NELD,"Collector: Wilkes Explor. Exped.
Number: 10 Collector: J. W. Gillespie
Number: 2715",,Blechnum_pilosum
Cranfillia_sampaioana,NELD,"Collector: J. E. Leite
Number: 3598 Collector: Reitz
Number: 5183",,Blechnum_sampaioanum
Cranfillia_sprucei,NELD,"Collector: E. R. de la Sota
Number: 4451 Collector: ex herb. L. Castillon
Number: s.n.",,Blechnum_sprucei
Cranfillia_vulcanica,NELD,"Collector: J. Florence
Number: 2939",,Blechnum_vulcanicum
Diploblechnum_diversifolium,NELD,"Collector: Franc
Number: 669 Collector: Franc
Number: 17",,Blechnum_diversifolium
Diploblechnum_lenormandii,NELD,"Collector: Franc
Number: 1418",,Blechnum_lenormandii
Diploblechnum_neglectum,NELD,"Collector: Henk van der Werff
Number: 13808",,Pteridoblechnum_neglectum
Icarus_filiformis,NELD,"Collector: W. Grace
Number: 1006",,Blechnum_filiforme
Lomaria_discolor,NELD,"Collector: L.A. Doore; T.T. Earle; P.J. Philson
Number: 306 Collector: E. Kershner
Number: s.n.",,Blechnum_discolor
Lomaria_nuda,NELD,"Collector: E. F. Constable
Number: P7893 Collector: R. D. Hoogland
Number: 8623",Blechnum nudum,Blechnum_nudum
Lomaria_oceanica,NELD,Henk van der Werff & G. McPherson Number: 16009,,Blechnum_oceanicum
Lomaria_spannagelii,NELD,"Collector: L. Smith & R. M. Klein
Number: 14891",,Blechnum_spannagelii
Lomaridium_acutum,NELD,"Collector: M. Kessler
Number: 12928",,Blechnum_acutum
Lomaridium_attenuatum,NELD,"Collector: ex herb. Mus. Paris
Number: 370 Collector: J. Buchanan
Number: 21",,Blechnum_attenuatum
Lomaridium_contiguum,NELD,no source found,,Blechnum_contiguum
Lomaridium_ensiforme,NELD,"Collector: A. Fuentes
Number: 7312 Collector: J. Campos
Number: 5491 Collector: I. A. Valdespino
Number: 310",,Blechnum_ensiforme
Lomaridium_fragile,NELD,"Collector: Bro. León & W. Seifriz
Number: 18436 Collector: Bro. Hioram & B. Clement
Number: 6394",,Blechnum_fragile
Lomaridium_fuscosquamosum,NELD,"Collector: I. Huamantupa
Number: 9503 Collector: A. Fay
Number: 1608",,Blechnum_fuscosquamosum
Lomariocycas_aurata,NELD,"Collector: Homero Vargas
Number: 2715 Collector: E. Bonino
Number: 824",,Blechnum_auratum
Lomariocycas_magellanica,NELD,"Collector: Hugo Gunckel
Number: s.n.",,Blechnum_magellanicum
Lomariocycas_schomburgkii,NELD,"Collector: L. Holm-Nielsen
Number: 4660 Collector: J. A. Shafer
Number: 3581",,Blechnum_schomburgkii
Lomariocycas_tabularis,NELD,"Collector: Henry H. Rusby
Number: 313 Collector: -. Lejeune
Number: 47",,Blechnum_tabulare
Lomariocycas_yungensis,NELD,"Collector: E. R. Guaglianone
Number: 1584 Collector: P. R. Legname
Number: 8219",,Blechnum_moritzianum
Lorinseria_areolata,NELD,"Collector: C. Waters
Date: 1894-10-22",Woodwardia areolata,Woodwardia_areolata
Matteuccia_struthiopteris,NELD,Collector: Y. Tanaka Number: B. T. 91, Matteuccia struthiopteris var. pensylvanica,Matteuccia_struthiopteris
Oceaniopteris_ciliata,NELD,"Collector: H. Hürlimann
Number: 143",Blechnum moorei,Blechnum_moorei
Oceaniopteris_francii,NELD,"Collector: Franc
Number: 1479 Collector: Franc
Number: 14-1",,Blechnum_francii
Oceaniopteris_gibba,NELD,"Collector: Franc
Number: 88 Collector: H. S. McKee
Number: 11458",,Blechnum_gibbum
Oceaniopteris_obtusata,NELD,"Collector: Deplanche
Number: Collector Number: 16 Collector: Franc I
Date: 1912-00-00",,Blechnum_obtusatum
Oceaniopteris_vittata,NELD,"Collector: Parks, H.E.
Number: Collector Number: 20407 Collector: H. E. Parks
Number: 20864",,Blechnum_vittatum
Onoclea_sensibilis,NELD,"Collector: Hill, S. R. Number: 13988 Collector: Gleason, Henry A. Number: 270",,Onoclea_sensibilis
Onocleopsis_hintonii,NELD,"Collector: M. Sundue
Number: 170 Collector: George Yatskievych
Number: 86-332",,Onocleopsis_hintonii
Parablechnum_ambiguum,NELD,"Collector: M. Verreaux
Number: 78 Collector: E. F. Constable
Number: P8186",,Blechnum_ambiguum
Parablechnum_articulatum,NELD,"Collector: Dallachy
Number: s.n.",,Blechnum_articulatum
Parablechnum_camfieldii,NELD,"Collector: R. Coveny
Number: 4947",,Blechnum_camfieldii
